# T/T_D, C_v_xs/NkB, S_xs/NkB
7.029999999999999583e-01 2.586200085361367584e-02 1.400433453470526501e-01
7.128999999999999782e-01 2.524054572988765344e-02 1.404006464612201910e-01
7.227999999999998870e-01 2.463995314812539306e-02 1.407445934729052439e-01
7.326999999999999069e-01 2.405937020418669192e-02 1.410758277123527193e-01
7.425999999999999268e-01 2.349798204399178303e-02 1.413949534953249376e-01
7.524999999999999467e-01 2.295501031336755204e-02 1.417025405777119218e-01
7.623999999999999666e-01 2.242971162498630378e-02 1.419991264295483724e-01
7.722999999999999865e-01 2.192137605204225181e-02 1.422852183427107953e-01
7.821999999999998954e-01 2.142932565610511375e-02 1.425612953853971909e-01
7.920999999999999153e-01 2.095291305467572585e-02 1.428278102154125762e-01
8.019999999999999352e-01 2.049152003266030420e-02 1.430851907633088338e-01
8.118999999999999551e-01 2.004455620059797383e-02 1.433338417955201116e-01
8.217999999999999750e-01 1.961145770154359980e-02 1.435741463667947748e-01
8.316999999999998838e-01 1.919168596767928392e-02 1.438064671704690767e-01
8.415999999999999037e-01 1.878472652707374735e-02 1.440311477944264951e-01
8.514999999999999236e-01 1.839008786053764055e-02 1.442485138899631814e-01
8.613999999999999435e-01 1.800730030795616443e-02 1.444588742601382592e-01
8.712999999999999634e-01 1.763591502339689754e-02 1.446625218737502827e-01
8.811999999999999833e-01 1.727550297767788123e-02 1.448597348104483373e-01
8.910999999999998922e-01 1.692565400741985471e-02 1.450507771422184788e-01
9.009999999999999121e-01 1.658597590878674310e-02 1.452358997558507170e-01
9.108999999999999320e-01 1.625609357469137706e-02 1.454153411208545243e-01
9.207999999999999519e-01 1.593564817366344144e-02 1.455893280067335205e-01
9.306999999999999718e-01 1.562429636884754558e-02 1.457580761533350255e-01
9.405999999999998806e-01 1.532170957546874490e-02 1.459217908977068490e-01
9.504999999999999005e-01 1.502757325506065555e-02 1.460806677605228643e-01
9.603999999999999204e-01 1.474158624487609259e-02 1.462348929950065823e-01
9.702999999999999403e-01 1.446346012085442112e-02 1.463846441010030475e-01
9.801999999999999602e-01 1.419291859258198230e-02 1.465300903066513172e-01
9.900999999999998691e-01 1.392969692871215415e-02 1.466713930199352589e-01
1.000000000000000000e+00 1.367354141134757839e-02 1.468087062521767905e-01
